,model,mse,rmse,mae,r2,mape,uses_scaled
Random Forest,"RandomForestRegressor(n_jobs=-1, random_state=42)",0.3764528401808246,0.6135575280125121,0.14760487671232575,0.9999557553904203,0.13081523288621166,False
Gradient Boosting,GradientBoostingRegressor(random_state=42),5.879096253765143,2.4246847741026345,1.6607849611393408,0.9993090281419983,1.4661287138952885,False
AdaBoost,"AdaBoostRegressor(n_estimators=100, random_state=42)",108.05144966744703,10.394779923954477,8.120977215303887,0.9873006823304386,8.420057178202017,False
Decision Tree,"DecisionTreeRegressor(max_depth=10, random_state=42)",2.1006508242819293,1.4493622129343406,0.5181456483759262,0.9997531099100244,0.5089441153557897,False
Linear Regression,LinearRegression(),180.3622913235571,13.429902878411188,9.503178659718351,0.9788019685050289,6.97577677342911,True
Ridge Regression,Ridge(random_state=42),180.26791331395546,13.426388692197,9.507689548977638,0.9788130607793911,6.984904067403905,True
KNN Regressor,KNeighborsRegressor(),101.42361829479451,10.070929365991725,6.459262465753424,0.9880796532403213,4.726149493280574,True
