,model,accuracy,precision,recall,f1,uses_scaled
Random Forest,"RandomForestClassifier(n_jobs=-1, random_state=42)",0.9961643835616438,0.9961731398084087,0.9961643835616438,0.9961667307386155,False
Gradient Boosting,GradientBoostingClassifier(random_state=42),0.9978082191780822,0.9978073481295453,0.9978082191780822,0.997805856046023,False
AdaBoost,"AdaBoostClassifier(n_estimators=100, random_state=42)",0.7780821917808219,0.8018408340254877,0.7780821917808219,0.7620392404715634,False
Decision Tree,"DecisionTreeClassifier(max_depth=10, random_state=42)",0.9972602739726028,0.9972631640438245,0.9972602739726028,0.9972591464438267,False
Logistic Regression,"LogisticRegression(max_iter=1000, random_state=42)",0.9846575342465753,0.9847404669795199,0.9846575342465753,0.9846464471712616,True
KNN Classifier,KNeighborsClassifier(),0.9123287671232877,0.9138316433879488,0.9123287671232877,0.9126443573098009,True
Naive Bayes,GaussianNB(),0.4547945205479452,0.5743788848025771,0.4547945205479452,0.4138608813254877,True
