AQI
121.95
180.05
194.91
138.27
88.86
116.58
118.82
124.52
118.63
66.38
180.74
147.55
193.46
118.33
85.93
150.17
165.44
167.0
63.62
105.97
202.85
156.78
128.4
147.03
151.22
147.19
98.38
181.01
143.36
145.93
104.53
204.94
127.95
170.15
174.1
147.29
142.31
119.03
127.69
170.47
159.04
104.59
119.84
226.74
155.71
155.86
157.58
159.86
166.06
95.39
137.6
119.77
105.87
121.86
159.12
247.94
116.79
120.75
122.69
121.67
183.28
83.98
124.29
137.48
156.62
116.06
159.61
150.92
148.56
133.73
62.85
123.53
147.99
180.03
90.2
152.58
164.55
147.0
135.31
174.83
111.85
104.77
140.86
141.72
156.85
162.29
142.23
123.54
301.64
186.13
186.59
118.63
158.78
152.36
126.2
134.73
93.02
155.43
148.7
133.24
179.47
295.13
157.49
117.67
138.81
126.14
130.99
106.46
180.22
153.87
108.1
173.46
113.06
122.13
174.86
144.91
135.11
135.01
119.03
145.41
93.25
162.6
118.6
143.91
76.39
145.1
104.24
162.89
127.57
147.91
157.34
104.95
121.04
152.42
139.02
144.39
186.71
146.73
146.39
178.84
139.48
153.31
93.08
158.05
108.42
87.92
109.65
184.35
165.12
150.6
169.49
125.91
110.85
87.29
101.01
193.7
134.36
86.61
108.04
193.27
91.92
107.2
126.69
147.13
127.69
173.41
206.16
165.08
91.75
91.77
140.18
93.65
80.88
191.76
189.84
135.41
174.99
187.05
160.89
141.17
129.99
234.74
82.02
90.27
105.01
87.38
123.37
115.78
163.85
193.73
132.32
119.72
164.32
167.99
179.03
134.84
103.98
152.09
134.38
87.37
95.32
136.71
192.61
120.53
107.34
98.66
90.51
115.14
103.37
133.38
121.06
150.07
82.93
183.34
160.23
164.0
92.0
147.61
82.57
234.3
85.01
249.17
120.12
236.16
76.06
148.04
152.98
109.37
150.39
93.92
78.38
187.46
130.79
163.34
102.74
142.36
168.16
170.04
127.74
104.96
107.37
132.17
113.77
84.42
114.01
106.38
160.35
201.94
128.84
110.65
163.75
123.49
121.47
169.55
146.76
98.5
173.5
191.46
151.2
135.89
193.16
179.35
144.83
164.62
59.63
110.44
162.59
148.92
157.14
179.68
205.16
159.0
203.26
118.46
180.84
162.33
136.94
89.09
97.58
131.51
129.2
144.98
155.17
179.57
172.8
112.33
148.02
122.57
187.87
176.56
183.59
158.03
147.76
86.98
111.08
79.52
123.15
175.7
155.21
93.25
153.26
163.43
162.08
207.79
159.81
122.44
143.08
167.52
177.57
118.12
74.64
75.46
142.97
125.75
121.85
125.44
183.98
111.41
136.12
114.15
123.43
137.67
142.16
229.01
147.01
173.56
175.86
187.93
132.44
94.38
168.47
166.83
181.63
136.23
134.61
82.19
169.66
150.18
209.27
199.04
185.62
203.21
160.73
150.13
159.02
138.1
166.36
246.97
183.63
150.42
125.72
146.34
212.73
155.64
102.29
142.05
196.26
103.47
170.91
132.09
131.62
202.99
156.68
161.58
105.28
167.4
27.79
33.38
32.46
42.05
37.46
31.93
22.11
39.36
31.76
32.7
43.93
41.94
23.28
32.57
32.25
33.28
42.21
28.86
36.24
32.59
